Book-Title,Book-Author,ISBN
Mortal Prey,John Sandford,0425189864
Reap the Wind,Iris Johansen,0553586122
Fahrenheit 451,RAY BRADBURY,0345342968
Coast Road: A Novel,Barbara Delinsky,0671027662
City of Bones,Michael Connelly,0316154059
Flesh and Blood,Jonathan Kellerman,034541389X
The Devil's Code,John Sandford,0399146504
I Is for Innocent,Sue Grafton,0449221512
Back Roads,Tawni O'Dell,0670894184
Silent Witness,Richard North Patterson,0679450408
Angels &amp; Demons,Dan Brown,0743486226
Black Notice,Patricia Daniels Cornwell,0425175405
The Street Lawyer,JOHN GRISHAM,0440225701
The Bourne Supremacy,Robert Ludlum,0553263226
Bag of Bones,Stephen King,067102423X
The Green Mile,Stephen King,0671032658
Big Trouble,Dave Barry,0425178102
Cradle and All,James Patterson,0446609404
1st to Die: A Novel,James Patterson,0446610038
Over the Edge,Jonathan Kellerman,0451178017
Sleepers,Lorenzo Carcaterra,0345404114
The Hot Zone,Richard Preston,0385479565
Night over Water,Ken Follett,0451173139
A Man in Full,Tom Wolfe,0553580930
The Bonesetter's Daughter,Amy Tan,0804114986
Holes (Yearling Newbery),LOUIS SACHAR,0440414806
The Girl Who Loved Tom Gordon,Stephen King,0671042858
The English Patient,Michael Ondaatje,0679745203
Code to Zero,Ken Follett,0525945636
I Know This Much Is True (Oprah's Book Club),Wally Lamb,0060391626
The Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,0060502258
I Know This Much Is True,Wally Lamb,0060987561
Fortune's Rocks : A Novel,Anita Shreve,0316734837
Dr. Death (Alex Delaware Novels (Paperback)),Jonathan Kellerman,0345413881
Stargirl,JERRY SPINELLI,037582233X
The Blind Assassin,Margaret Atwood,0385475721
Breathing Lessons,Anne Tyler,042511774X
The Brethren,John Grisham,0440236673
Jack &amp; Jill (Alex Cross Novels),James Patterson,0446604801
Cat &amp; Mouse (Alex Cross Novels),James Patterson,0446606189
The Midnight Club,James Patterson,0446606383
Black Friday,James Patterson,0446609323
Dances With Wolves,Michael Blake,0449134482
The Prince of Tides,Pat Conroy,0553268880
The Alienist,Caleb Carr,0553572997
She's Come Undone (Oprah's Book Club),Wally Lamb,0671021001
SHIPPING NEWS,Annie Proulx,0671510053
"Girl, Interrupted",SUSANNA KAYSEN,0679746048
Kitchen,Banana Yoshimoto,0802115160
"A Child Called \It\"": One Child's Courage to Survive""",Dave Pelzer,1558743669
The Beach House,James Patterson,0316969680
White Teeth: A Novel,Zadie Smith,0375703861
Daddy's Little Girl,Mary Higgins Clark,0743206045
The Hitchhiker's Guide to the Galaxy,Douglas Adams,0671664964
The Amazing Adventures of Kavalier &amp; Clay,Michael Chabon,0312282990
The Stone Diaries,Carol Shields,014023313X
Girl in Hyacinth Blue,Susan Vreeland,014029628X
The Devil Wears Prada : A Novel,LAUREN WEISBERGER,038550926X
While I Was Gone,Sue Miller,0345443284
The Pilot's Wife : A Novel,Anita Shreve,0316601950
Girl with a Pearl Earring,Tracy Chevalier,0452282152
Chocolat,Joanne Harris,0552998486
From Potter's Field,Patricia Daniels Cornwell,0425154092
Divine Secrets of the Ya-Ya Sisterhood : A Novel,Rebecca Wells,0060173289
Little Altars Everywhere: A Novel,Rebecca Wells,0060976845
On the Street Where You Live,Mary Higgins Clark,0739417096
Life of Pi,Yann Martel,0156027321
The Perfect Husband,LISA GARDNER,0553576801
The Sigma Protocol,Robert Ludlum,0312276885
The Red Tent (Bestselling Backlist),Anita Diamant,0312195516
"Like Water for Chocolate: A Novel in Monthly Installments With Recipes, Romances and Home Remedies",Laura Esquivel,0385474016
A Walk to Remember,Nicholas Sparks,0446608955
Thinner,Stephen King,0451137965
I Know Why the Caged Bird Sings,MAYA ANGELOU,0553279378
Bridget Jones : The Edge of Reason,Helen Fielding,0670892963
The Passion of Artemisia,Susan Vreeland,0670894494
Fatal Voyage,Kathy Reichs,0671028375
The Temple of My Familiar,Alice Walker,0671683993
Angela's Ashes (MMP) : A Memoir,Frank McCourt,0684872153
A Tree Grows in Brooklyn,Betty Smith,006092988X
The Poisonwood Bible: A Novel,Barbara Kingsolver,0060930535
Bel Canto: A Novel,Ann Patchett,0060934417
One for the Money (Stephanie Plum Novels (Paperback)),Janet Evanovich,0061009059
The Secret Garden,Frances Hodgson Burnett,006440188X
The Tao of Pooh,Benjamin Hoff,0140067477
The Secret Life of Bees,Sue Monk Kidd,0142001740
Three To Get Deadly : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich,0312966091
Full Tilt (Janet Evanovich's Full Series),Janet Evanovich,031298328X
Lucky : A Memoir,Alice Sebold,0316096199
The Dogs of Babel (Today Show Book Club #12),Carolyn Parkhurst,0316168688
White Oleander : A Novel (Oprah's Book Club),Janet Fitch,0316284955
White Oleander : A Novel,Janet Fitch,0316569321
Me Talk Pretty One Day,David Sedaris,0316776963
Naked,David Sedaris,0316777730
The Hobbit : The Enchanting Prelude to The Lord of the Rings,J.R.R. TOLKIEN,0345339681
A Prayer for Owen Meany,John Irving,0345361792
No Safe Place,RICHARD NORTH PATTERSON,0345404777
Dark Lady,Richard North Patterson,0345404785
The Murder Book,Jonathan Kellerman,0345413903
The Dress Lodger (Ballantine Reader's Circle),Sheri Holman,0345436911
Middlesex: A Novel,Jeffrey Eugenides,0374199698
The Dive From Clausen's Pier : A Novel (Vintage Contemporaries (Paperback)),ANN PACKER,0375727132
Postmortem,Patricia Daniels Cornwell,0380710218
All That Remains (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,0380718332
The Rainmaker,John Grisham,0385424736
"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",MITCH ALBOM,0385484518
Into the Wild,Jon Krakauer,0385486804
Oryx and Crake,Margaret Atwood,0385503857
Who Moved My Cheese? An Amazing Way to Deal with Change in Your Work and in Your Life,Spencer Johnson,0399144463
The River King,Alice Hoffman,0399145990
Lord of the Flies,William Gerald Golding,0399501487
Watchers,Dean R. Koontz,0425107469
Mortal Fear,Robin Cook,0425113884
The Cardinal of the Kremlin (Jack Ryan Novels),Tom Clancy,0425116840
Rules of Prey,John Sandford,0425121631
Mind Prey,John Sandford,0425152898
Contagion,Robin Cook,0425155943
Cause of Death,Patricia Daniels Cornwell,0425158616
Certain Prey,John Sandford,0425174271
Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,0439136369
Harry Potter and the Sorcerer's Stone (Book 1),J. K. Rowling,043936213X
Secrets,DANIELLE STEEL,0440176484
Wanderlust,Danielle Steel,0440193613
Vanished,Danielle Steel,0440217466
The Partner,John Grisham,0440224764
Tell No One,Harlan Coben,0440236703
Dune (Remembering Tomorrow),Frank Herbert,0441172717
Presumed Innocent,Scott Turow,0446350982
Blood Work,Michael Connelly,0446602620
Hide &amp; Seek,James Patterson,0446603716
Unspeakable,Sandra Brown,0446607193
Saving Faith,David Baldacci,0446608890
J Is for Judgment,Sue Grafton,0449221482
K Is for Killer (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,0449221504
Misery,Stephen King,0451169522
Dolores Claiborne,Stephen King,0451177096
The Fountainhead,Ayn Rand,0451191153
24 Hours,Greg Iles,0451203593
The Virgin Blue,Tracy Chevalier,0452284449
The Edge,Catherine Coulter,0515128600
Heaven and Earth (Three Sisters Island Trilogy),Nora Roberts,0515132020
Hemlock Bay,Catherine Coulter,0515133302
D Is for Deadbeat (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,0553271636
Where the Red Fern Grows,Wilson Rawls,0553274295
E Is for Evidence: A Kinsey Millhone Mystery (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,0553279556
B Is for Burglar (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,0553280341
C Is for Corpse (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,0553280368
Long After Midnight,IRIS JOHANSEN,0553571818
One Door Away from Heaven,Dean R. Koontz,0553582755
By the Light of the Moon,DEAN KOONTZ,0553801430
Two for the Dough,Janet Evanovich,0671001795
The God of Small Things,Arundhati Roy,0679457313
A Year in Provence,Peter Mayle,0679731148
Midnight in the Garden of Good and Evil,John Berendt,0679751521
The Sands of Time,Sidney Sheldon,0688065716
If Only It Were True,Marc Levy,0743406176
Pay It Forward,Catherine Ryan Hyde,0743412028
The Kitchen God's Wife,Amy Tan,080410753X
Saint Maybe,ANNE TYLER,0804108749
A Patchwork Planet,ANNE TYLER,080411918X
Tears of the Giraffe (No.1 Ladies Detective Agency),Alexander McCall Smith,1400031354
The No. 1 Ladies' Detective Agency (Today Show Book Club #8),Alexander McCall Smith,1400034779
The Samurai's Garden : A Novel,Gail Tsukiyama,0312144075
Balzac and the Little Chinese Seamstress : A Novel,DAI SIJIE,0385722206
Cruel &amp; Unusual (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,0380718340
Hornet's Nest,Patricia Daniels Cornwell,042516098X
2nd Chance,James Patterson,0446612790
G Is for Gumshoe (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,0449219364
Small Town Girl,Lavyrle Spencer,051512219X
Still Waters,TAMI HOAG,0553292722
A Thin Dark Line (Mysteries &amp; Horror),TAMI HOAG,0553571885
The Queen of the Damned (Vampire Chronicles (Paperback)),Anne Rice,0345351525
Night Prey,John Sandford,0425146413
Chromosome 6,Robin Cook,0425161242
Point of Origin,Patricia Daniels Cornwell,0425169863
The Testament,John Grisham,0440234743
The Best Laid Plans,Sidney Sheldon,0446604089
When the Wind Blows,James Patterson,0446607657
A Thousand Acres (Ballantine Reader's Circle),JANE SMILEY,0449907481
Ashes to Ashes,TAMI HOAG,0553579606
Fear Nothing,DEAN KOONTZ,0553579754
Seize the Night,DEAN KOONTZ,0553580191
I'll Be Seeing You,Mary Higgins Clark,0671888587
The Five People You Meet in Heaven,Mitch Albom,0786868716
All I Really Need to Know,ROBERT FULGHUM,080410526X
Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,0070212570
The Last Juror,John Grisham,0385510438
Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,1558744150
The Little Friend,Donna Tartt,0679439382
Charlotte's Web (Trophy Newbery),E. B. White,0064400557
How the Garcia Girls Lost Their Accents (Plume Contemporary Fiction),Julia Alvarez,0452268060
The House on Mango Street (Vintage Contemporaries),SANDRA CISNEROS,0679734775
Open House (Oprah's Book Club (Paperback)),Elizabeth Berg,0345435168
Border Music,Robert James Waller,0446518581
Good in Bed,Jennifer Weiner,0743418174
The Apprentice,Tess Gerritsen,0345447867
Bleachers,John Grisham,0385511612
Prey,Michael Crichton,0061015725
East of Eden (Oprah's Book Club),John Steinbeck,0142004235
The Lion's Game,Nelson DeMille,0446608262
The Reader,Bernhard Schlink,0375707972
The Corrections: A Novel,Jonathan Franzen,0312421273
The Diary of Ellen Rimbauer: My Life at Rose Red,Ellen Rimbauer,0786890436
The No. 1 Ladies' Detective Agency,Alexander McCall Smith,1400031346
Disclosure,Michael Crichton,0345391055
The Laws of Our Fathers,Scott Turow,0374184232
The Thorn Birds,Colleen McCullough,0380018179
The Runaway Jury,JOHN GRISHAM,0385472943
WLD ACCORDNG GARP,John Irving,0671452177
Don't Stand Too Close to a Naked Man,Tim Allen,0786861347
Courting Trouble,Lisa Scottoline,0060008296
Dark Rivers of the Heart,Dean R. Koontz,034539657X
"Whirlwind (Tyler, Book 1)",Nancy Martin,0373825013
The Sum of All Fears (Jack Ryan Novels),Tom Clancy,0425133540
Tom Clancy's Op-Center (Tom Clancy's Op Center (Paperback)),Tom Clancy,0425147363
A Time to Kill,JOHN GRISHAM,0440211727
Heartbeat,Danielle Steel,0440211891
The Client,John Grisham,0440213525
The Pelican Brief,John Grisham,0440214041
Smilla's Sense of Snow,Peter Hoeg,0440218535
The Horse Whisperer,Nicholas Evans,0440222656
Pet Sematary,Stephen King,0451132378
Four Past Midnight,Stephen King,0451170385
Fat Tuesday,Sandra Brown,0553478257
We'll Meet Again,Mary Higgins Clark,0671004565
Mercy,Julie Garwood,0671034022
Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,067976397X
Sea Swept (Quinn Brothers (Paperback)),Nora Roberts,0515121843
The Shipping News : A Novel,Annie Proulx,0743225406
The Catcher in the Rye,J.D. Salinger,0316769487
Body of Evidence (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,0380717018
Black House,Stephen King,0345441036
Sleep No More,Greg Iles,0451208765
"The Gunslinger (The Dark Tower, Book 1)",Stephen King,0451210840
"The Drawing of the Three (The Dark Tower, Book 2)",Stephen King,0451210859
"Wizard and Glass (The Dark Tower, Book 4)",Stephen King,0451210875
The Handmaid's Tale,Margaret Atwood,0449212602
Beloved (Plume Contemporary Fiction),Toni Morrison,0452264464
Seabiscuit: An American Legend,LAURA HILLENBRAND,0449005615
Women Who Run with the Wolves,CLARISSA PINKOLA PHD ESTES,0345377443
The Smoke Jumper,Nicholas Evans,0440235162
Drowning Ruth,Christina Schwarz,0385502532
Night,Elie Wiesel,0553272535
The Bean Trees,Barbara Kingsolver,0061097314
Rebecca,Daphne Du Maurier,0380778556
The Scarlet Letter,NATHANIEL HAWTHORNE,0553210092
The Surgeon,Francis Roe,0451180240
Neverwhere,Neil Gaiman,0380789019
Snow Falling on Cedars,David Guterson,067976402X
Angels,Marian Keyes,0060008024
Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,0060928336
Where the Heart Is (Oprah's Book Club (Paperback)),Billie Letts,0446672211
The Honk and Holler Opening Soon,Billie Letts,0446675059
Summer Sisters,Judy Blume,0440226430
Daughter of Fortune : A Novel (Oprah's Book Club (Hardcover)),Isabel Allende,006019491X
Without Remorse,Tom Clancy,0399138250
Girl With a Pearl Earring,Tracy Chevalier,0452284937
One Flew Over the Cuckoo's Nest,Ken Kesey,0451163966
Bastard Out of Carolina,Dorothy Allison,0452269571
Sole Survivor,DEAN KOONTZ,0345384377
The Switch,Sandra Brown,0446609943
Intensity,DEAN KOONTZ,0553582917
A Heartbreaking Work of Staggering Genius,Dave Eggers,0375725784
Into Thin Air : A Personal Account of the Mt. Everest Disaster,JON KRAKAUER,0385492081
Circle of Friends,Maeve Binchy,0385301499
Alias Grace,Margaret Atwood,0385475713
"Dude, Where's My Country?",Michael Moore,0446532231
The Virgin Suicides,Jeffrey Eugenides,0446670251
Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt,0679429220
It Was on Fire When I Lay Down on It,Robert Fulghum,0804105820
The Lovely Bones,Alice Sebold,0316168815
Blessings,ANNA QUINDLEN,0345468694
Falling Angels,Tracy Chevalier,0452283205
Tis: A Memoir,Frank McCourt,0684865742
Good Harbor: A Novel,Anita Diamant,0743225325
Fall On Your Knees (Oprah #45),Ann-Marie MacDonald,0743237188
The Stone Monkey (Lincoln Rhyme Novels (Paperback)),Jeffery Deaver,0743437802
Welcome to Temptation,Jennifer Crusie,0312974256
Faking It,Jennifer Crusie,0312983824
Scarlet Feather,Maeve Binchy,0451203771
Rising Tides,Nora Roberts,051512317X
Inner Harbor (Quinn Brothers (Paperback)),Nora Roberts,0515124214
Key of Light (Key Trilogy (Paperback)),Nora Roberts,051513628X
Key of Knowledge (Key Trilogy (Paperback)),Nora Roberts,0515136379
"Key of Valor (Roberts, Nora. Key Trilogy, 3.)",Nora Roberts,0515136530
Birthright,Nora Roberts,0515137111
The Key to Midnight,Dean R. Koontz,0425147517
The Empty Chair,Jeffery Deaver,0684855631
The Woman Next Door,Barbara Delinsky,0743204697
Catch Me If You Can: The True Story of a Real Fake,Stan Redding,0767905385
The Stand: Complete and Uncut,Stephen King,0451169530
The Pilot's Wife : A Novel Tag: Author of the Weight of Water (Oprah's Book Club (Hardcover)),Anita Shreve,0316789089
Sphere,MICHAEL CRICHTON,0345353145
Eaters of the Dead,MICHAEL CRICHTON,0345354613
The Andromeda Strain,MICHAEL CRICHTON,0345378482
Congo,Michael Crichton,0345378490
Rising Sun,MICHAEL CRICHTON,0345380371
Airframe,Michael Crichton,0345402871
The Lost World,Michael Crichton,034540288X
Timeline,MICHAEL CRICHTON,0345417623
Paradise,Toni Morrison,0679433740
ANGELA'S ASHES,Frank McCourt,0684874350
Don't Sweat the Small Stuff and It's All Small Stuff : Simple Ways to Keep the Little Things from Taking Over Your Life (Don't Sweat the Small Stuff Series),Richard Carlson,0786881852
A Bend in the Road,Nicholas Sparks,0446527785
Winter Moon,Dean R. Koontz,0345386108
The Eyes of Darkness,Dean R. Koontz,0425153975
Red Dragon,Thomas Harris,0440206154
Absolute Power,David Baldacci,0446603589
Last Man Standing,David Baldacci,0446611778
The Lost Boy: A Foster Child's Search for the Love of a Family,Dave Pelzer,1558745157
The Bridges of Madison County,Robert James Waller,044651652X
Different Seasons,Stephen King,0451124340
A Widow for One Year,JOHN IRVING,034543479X
Thousand Acres,JANE SMILEY,0804115761
Gap Creek: The Story Of A Marriage,Robert Morgan,0743203631
P Is for Peril,Sue Grafton,0449003795
The Crush,Sandra Brown,0446527041
Dead Sleep,Greg Iles,0451206525
Carolina Moon,Nora Roberts,0515130389
A Day Late and a Dollar Short,Terry McMillan,0451204948
Guilty as Sin,TAMI HOAG,0553564528
The Shining,Stephen King,0451160916
Secret History,DONNA TARTT,0804111359
Songs in Ordinary Time (Oprah's Book Club (Paperback)),Mary McGarry Morris,0140244824
A Lesson Before Dying (Vintage Contemporaries (Paperback)),Ernest J. Gaines,0375702709
The Wedding,Julie Garwood,0671870998
About a Boy,Nick Hornby,1573220876
September,Rosamunde Pilcher,0312924801
Chasing the Dime,Michael Connelly,044661162X
House of Sand and Fog,Andre Dubus III,0375727345
Five Quarters of the Orange,Joanne Harris,0060958022
Interview with the Vampire,Anne Rice,0345337662
Mirror Image,Danielle Steel,0440224772
Tara Road,Maeve Binchy,0440235596
The Guardian,Nicholas Sparks,0446527793
Message in a Bottle,Nicholas Sparks,0446606812
Let Me Call You Sweetheart,Mary Higgins Clark,0671568175
While My Pretty One Sleeps,Mary Higgins Clark,0671673688
Remember Me,Mary Higgins Clark,0671867091
The Last Precinct,Patricia Daniels Cornwell,0399146253
The Jury,Steve Martini,0399146725
Isle of Dogs,Patricia Daniels Cornwell,039914739X
Blow Fly: A Scarpetta Novel,Patricia Cornwell,0399150897
Fatherhood,Bill Cosby,0425097722
Debt of Honor (Jack Ryan Novels),Tom Clancy,0425147584
One True Thing,Anna Quindlen,044022103X
The Simple Truth,David Baldacci,0446523321
Four Blind Mice,James Patterson,0446613266
Protect and Defend,Richard North Patterson,0679450440
STONES FROM THE RIVER,Ursula Hegi,068484477X
Dr. Atkins' New Diet Revolution,"Robert C., Md. Atkins",087131763X
1984,George Orwell,0451524934
Evening Class,Maeve Binchy,0385318073
Drums of Autumn,DIANA GABALDON,044022425X
The Sky Is Falling,Sidney Sheldon,0060198346
Icy Sparks,Gwyn Hyman Rubio,0142000205
The Prometheus Deception,Robert Ludlum,0312978367
Drowning Ruth (Oprah's Book Club),CHRISTINA SCHWARZ,0345439104
Engaging The Enemy,Nora Roberts,0373218192
Irish Hearts,Nora Roberts,0373484003
Red Storm Rising,Tom Clancy,042510107X
The Bear and the Dragon (Jack Ryan Novels),Tom Clancy,0425180964
Echoes,Maeve Binchy,0440122090
Nothing Lasts Forever,Sidney Sheldon,0446354732
Smart Women,Judy Blume,0671727583
Temptation,Jude Deveraux,0743410181
Mutant Message Down Under,Marlo Morgan,0060926317
"Galileo's Daughter: A Historical Memoir of Science, Faith, and Love",Dava Sobel,0140280553
"Truly, Madly Manhattan",Nora Roberts,0373218036
Bee Season: A Novel,Myla Goldberg,0385498802
Sophie's World: A Novel About the History of Philosophy,Jostein Gaarder,0425152251
Cold Sassy Tree,Olive Ann Burns,0440212723
Quentins,Maeve Binchy,0451209907
Possessing the Secret of Joy,Alice Walker,0671789422
"Ahab's Wife: Or, The Star-Gazer: A Novel",Sena Jeter Naslund,0688177859
Peace Like a River,Leif Enger,0802139256
At Home in Mitford (The Mitford Years),Jan Karon,014025448X
Fast Women,Jennifer Crusie,0312252617
The Long Road Home,DANIELLE STEEL,0385319568
Standoff,Sandra Brown,0446527017
Envy,Sandra Brown,0446527130
Wish You Well,David Baldacci,0446527165
Watership Down,Richard Adams,0140039589
The Bluest Eye,Toni Morrison,0375411550
The Survivors Club,LISA GARDNER,0553584510
Sick Puppy,Carl Hiaasen,0446604666
"The Fellowship of the Ring (The Lord of the Rings, Part 1)",J. R. R. Tolkien,0618129030
The Four Agreements: A Practical Guide to Personal Freedom,Don Miguel Ruiz,1878424319
Interpreter of Maladies,Jhumpa Lahiri,039592720X
Outlander,Diana Gabaldon,0385319959
A Beautiful Mind: The Life of Mathematical Genius and Nobel Laureate John Nash,Sylvia Nasar,0743224574
The Sum of All Fears,Tom Clancy,0425184226
Face the Fire (Three Sisters Island Trilogy),Nora Roberts,051513287X
Hard Eight : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich,0312265859
Harry Potter and the Goblet of Fire (Book 4),J. K. Rowling,0439139600
The Forgotten (Peter Decker &amp; Rina Lazarus Novels (Paperback)),Faye Kellerman,0380730847
P Is for Peril (Kinsey Millhone Mysteries (Hardcover)),Sue Grafton,0399147195
The Robber Bride,Margaret Atwood,0553569058
The Bachelor (Warner Books Contemporary Romance),Carly Phillips,0446610542
"Men Are from Mars, Women Are from Venus: A Practical Guide for Improving Communication and Getting What You Want in Your Relationships",John Gray,006016848X
Of Mice and Men (Penguin Great Books of the 20th Century),John Steinbeck,0140177396
The Little Prince,Antoine de Saint-ExupÃÂ©ry,0156528207
Coming Home,Rosamunde Pilcher,0312958129
"The Vampire Lestat (Vampire Chronicles, Book II)",ANNE RICE,0345313860
Sword of Shannara,Terry Brooks,0345314255
Beloved,BERTRICE SMALL,0345327853
The Princess Bride: S Morgenstern's Classic Tale of True Love and High Adventure,WILLIAM GOLDMAN,0345348036
Foucault's Pendulum,Umberto Eco,0345368754
Degree of Guilt,Richard North Patterson,034538184X
Icebound,Dean R. Koontz,0345384350
The Witching Hour (Lives of the Mayfair Witches),ANNE RICE,0345384466
The Tale of the Body Thief (Vampire Chronicles (Paperback)),Anne Rice,034538475X
The Genesis Code,John Case,0345422317
Ellen Foster,Kaye Gibbons,0375703055
Waiting (Vintage International),Ha Jin,0375706410
American Gods,Neil Gaiman,0380789035
The Book of Ruth (Oprah's Book Club (Paperback)),Jane Hamilton,0385265700
No Greater Love,Danielle Steel,0385299095
"Like Water for Chocolate: A Novel in Monthly Installments, With Recipes, Romances, and Home Remedies",Laura Esquivel,0385420161
The Handmaid's Tale : A Novel,Margaret Atwood,038549081X
The Phantom Tollbooth,Norton Juster,0394820371
Dragon Tears,Dean R. Koontz,0399137734
Midnight,Dean R. Koontz,0425118703
The Hunt for Red October,Tom Clancy,0425120279
Hideaway,Dean R. Koontz,042513525X
Turtle Moon,Alice Hoffman,042513699X
Fatal Cure,Robin Cook,0425145638
The Body Farm,Patricia Daniels Cornwell,0425147622
Acceptable Risk,Robin Cook,0425151867
Invasion,Robin Cook,0425155404
Sudden Prey,John Sandford,0425157539
Executive Orders (Jack Ryan Novels),Tom Clancy,0425158632
Rainbow Six,Tom Clancy,0425170349
Purity in Death,J.D. Robb,042518630X
Daddy,DANIELLE STEEL,0440207622
The Firm,John Grisham,044021145X
A Wrinkle in Time,L'Engle Madelein,0440220394
Five Days in Paris,DANIELLE STEEL,0440222842
The Return Journey,MAEVE BINCHY,0440224594
The Kiss,Danielle Steel,044023669X
"Scarlett : The Sequel to Margaret Mitchell's \Gone With the Wind\""""",Alexandra Ripley,0446363251
The General's Daughter,Nelson DeMille,0446364800
The Witness,Sandra Brown,0446516317
Slow Waltz in Cedar Bend,Robert James Waller,0446601640
Primary Colors: A Novel of Politics,Anonymous,0446604275
Total Control,David Baldacci,0446604844
Catering to Nobody,Diane Mott Davidson,044922046X
Christine,Stephen King,0451128370
The Dead Zone,Stephen King,0451155750
The Tommyknockers,Stephen King,0451156609
Needful Things,Stephen King,0451172817
Gerald's Game,Stephen King,0451176464
The Door to December,Dean R. Koontz,0451181379
A Case of Need,Michael Crichton,0451183665
Insomnia,Stephen King,0451184963
The Deep End of the Ocean,Jacquelyn Mitchard,0451186923
The Reef,Nora Roberts,051512608X
Jewels of the Sun (Irish Trilogy),Nora Roberts,0515126772
River's End,Nora Roberts,0515127833
Tears of the Moon (Irish Trilogy),Nora Roberts,0515128546
Dance upon the Air (Three Sisters Island Trilogy),Nora Roberts,0515131229
The Regulators,Richard Bachman,0525941908
Couplehood,Paul Reiser,0553096834
